MOP_ID,Assembly Model,CBU 1,GBU 1,CBU 2,GBU 2
AM_1_1,(3-pyramidal)x2(2-bent)x3_D3h,[Zr3O(OH)3(C5H5)3],3-pyramidal,D3,2-bent
AM_1_2,(3-pyramidal)x2(2-bent)x3_D3h,[Zr3O(OH)3(C5H5)3],3-pyramidal,D1,2-bent
AM_1_3,(3-pyramidal)x2(2-bent)x3_D3h,[Zr3O(OH)3(C5H5)3],3-pyramidal,D2,2-bent
AM_1_4,(3-pyramidal)x2(2-bent)x3_D3h,[Fe3O(SO4)3(C5H5N)3],3-pyramidal,D3,2-bent
AM_1_5,(3-pyramidal)x2(2-bent)x3_D3h,[Fe3O(SO4)3(C5H5N)3],3-pyramidal,D1,2-bent
AM_1_6,(3-pyramidal)x2(2-bent)x3_D3h,[Fe3O(SO4)3(C5H5N)3],3-pyramidal,D2,2-bent
AM_1_7,(3-pyramidal)x2(2-bent)x3_D3h,[V3O2(OH)2(HCO2)3],3-pyramidal,D3,2-bent
AM_1_8,(3-pyramidal)x2(2-bent)x3_D3h,[V3O2(OH)2(HCO2)3],3-pyramidal,D1,2-bent
AM_1_9,(3-pyramidal)x2(2-bent)x3_D3h,[V3O2(OH)2(HCO2)3],3-pyramidal,D2,2-bent
AM_1_10,(3-pyramidal)x2(2-bent)x3_D3h,[V6O6(OCH3)9(SO4)],3-pyramidal,D3,2-bent
AM_1_11,(3-pyramidal)x2(2-bent)x3_D3h,[V6O6(OCH3)9(SO4)],3-pyramidal,D1,2-bent
AM_1_12,(3-pyramidal)x2(2-bent)x3_D3h,[V6O6(OCH3)9(SO4)],3-pyramidal,D2,2-bent
AM_1_13,(3-pyramidal)x2(2-bent)x3_D3h,[V7O10(OCH3)9],3-pyramidal,D3,2-bent
AM_1_14,(3-pyramidal)x2(2-bent)x3_D3h,[V7O10(OCH3)9],3-pyramidal,D1,2-bent
AM_1_15,(3-pyramidal)x2(2-bent)x3_D3h,[V7O10(OCH3)9],3-pyramidal,D2,2-bent
AM_1_16,(3-pyramidal)x2(2-bent)x3_D3h,[Pd3PO(C3H7N)3],3-pyramidal,D3,2-bent
AM_1_17,(3-pyramidal)x2(2-bent)x3_D3h,[Pd3PO(C3H7N)3],3-pyramidal,D1,2-bent
AM_1_18,(3-pyramidal)x2(2-bent)x3_D3h,[Pd3PO(C3H7N)3],3-pyramidal,D2,2-bent
AM_2_1,(3-planar)x4(3-pyramidal)x4_Td,C1,3-planar,[Zr3O(OH)3(C5H5)3],3-pyramidal
AM_2_2,(3-planar)x4(3-pyramidal)x4_Td,C1,3-planar,[Fe3O(SO4)3(C5H5N)3],3-pyramidal
AM_2_3,(3-planar)x4(3-pyramidal)x4_Td,C1,3-planar,[V6O6(OCH3)9(SO4)],3-pyramidal
AM_2_4,(3-planar)x4(3-pyramidal)x4_Td,C1,3-planar,[V7O10(OCH3)9],3-pyramidal
AM_2_5,(3-planar)x4(3-pyramidal)x4_Td,C1,3-planar,[V3O2(OH)2(HCO2)3],3-pyramidal
AM_2_6,(3-planar)x4(3-pyramidal)x4_Td,C1,3-planar,[Pd3PO(C3H7N)3],3-pyramidal
AM_2_7,(3-planar)x4(3-pyramidal)x4_Td,C8,3-planar,[Zr3O(OH)3(C5H5)3],3-pyramidal
AM_2_8,(3-planar)x4(3-pyramidal)x4_Td,C8,3-planar,[Fe3O(SO4)3(C5H5N)3],3-pyramidal
AM_2_9,(3-planar)x4(3-pyramidal)x4_Td,C8,3-planar,[V6O6(OCH3)9(SO4)],3-pyramidal
AM_2_10,(3-planar)x4(3-pyramidal)x4_Td,C8,3-planar,[V7O10(OCH3)9],3-pyramidal
AM_2_11,(3-planar)x4(3-pyramidal)x4_Td,C8,3-planar,[V3O2(OH)2(HCO2)3],3-pyramidal
AM_2_12,(3-planar)x4(3-pyramidal)x4_Td,C8,3-planar,[Pd3PO(C3H7N)3],3-pyramidal
AM_2_13,(3-planar)x4(3-pyramidal)x4_Td,C7,3-planar,[Zr3O(OH)3(C5H5)3],3-pyramidal
AM_2_14,(3-planar)x4(3-pyramidal)x4_Td,C7,3-planar,[Fe3O(SO4)3(C5H5N)3],3-pyramidal
AM_2_15,(3-planar)x4(3-pyramidal)x4_Td,C7,3-planar,[V6O6(OCH3)9(SO4)],3-pyramidal
AM_2_16,(3-planar)x4(3-pyramidal)x4_Td,C7,3-planar,[V7O10(OCH3)9],3-pyramidal
AM_2_17,(3-planar)x4(3-pyramidal)x4_Td,C7,3-planar,[V3O2(OH)2(HCO2)3],3-pyramidal
AM_2_18,(3-planar)x4(3-pyramidal)x4_Td,C7,3-planar,[Pd3PO(C3H7N)3],3-pyramidal
AM_2_25,(3-planar)x4(3-pyramidal)x4_Td,C9,3-planar,[Zr3O(OH)3(C5H5)3],3-pyramidal
AM_2_26,(3-planar)x4(3-pyramidal)x4_Td,C9,3-planar,[Fe3O(SO4)3(C5H5N)3],3-pyramidal
AM_2_27,(3-planar)x4(3-pyramidal)x4_Td,C9,3-planar,[V6O6(OCH3)9(SO4)],3-pyramidal
AM_2_28,(3-planar)x4(3-pyramidal)x4_Td,C9,3-planar,[V7O10(OCH3)9],3-pyramidal
AM_2_29,(3-planar)x4(3-pyramidal)x4_Td,C9,3-planar,[V3O2(OH)2(HCO2)3],3-pyramidal
AM_2_30,(3-planar)x4(3-pyramidal)x4_Td,C9,3-planar,[Pd3PO(C3H7N)3],3-pyramidal
AM_2_31,(3-planar)x4(3-pyramidal)x4_Td,C10,3-planar,[Zr3O(OH)3(C5H5)3],3-pyramidal
AM_2_32,(3-planar)x4(3-pyramidal)x4_Td,C10,3-planar,[Fe3O(SO4)3(C5H5N)3],3-pyramidal
AM_2_33,(3-planar)x4(3-pyramidal)x4_Td,C10,3-planar,[V6O6(OCH3)9(SO4)],3-pyramidal
AM_2_34,(3-planar)x4(3-pyramidal)x4_Td,C10,3-planar,[V7O10(OCH3)9],3-pyramidal
